title,source_country,date,url,clean_text,headline_length_words,month
Israel closes Rafah crossing and all other checkpoints in the West Bank and Gaza Strip,Israel,2026-03-01 15:00:00,https://www.middleeasteye.net/news/israel-closes-rafah-crossing-checkpoint-west-bank-gaza-strip,israel closes rafah crossing and all other checkpoints in the west bank and gaza strip,15,2026-03
الرئيس محمود عباس يتلقى اتصالا هاتفيا من الرئيس الإندونيسي برابوا سوبيانتو - شبكة فلسطين للأنباء,Israel,2026-03-23 22:00:00,https://www.shfanews.net/post/271610,الرئيس محمود عباس يتلقى اتصالا هاتفيا من الرئيس الإندونيسي برابوا سوبيانتو شبكة فلسطين للأنباء,14,2026-03
الرئيس محمود عباس يتلقى اتصالا هاتفيا من رئيس الوزراء اليوناني - شبكة فلسطين للأنباء,Israel,2026-03-06 15:00:00,https://www.shfanews.net/post/268947,الرئيس محمود عباس يتلقى اتصالا هاتفيا من رئيس الوزراء اليوناني شبكة فلسطين للأنباء,13,2026-03
نظام صحي متهالك : ارقام صادمة بشأن القطاع الصحي الفلسطيني – تلفزيون الفجر,Israel,2026-04-07 09:15:00,https://alfajertv.com/news/palnews/725325.html,نظام صحي متهالك ارقام صادمة بشأن القطاع الصحي الفلسطيني تلفزيون الفجر,11,2026-04
ماكرون يحذر من احتلال لبنان ويدعو للاعتراف بدولة فلسطين,Israel,2026-03-24 06:00:00,https://www.aljazeera.net/news/2026/3/24/%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D9%8A%D8%AD%D8%B0%D8%B1-%D9%85%D9%86-%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D9%88%D9%8A%D8%AF%D8%B9%D9%88,ماكرون يحذر من احتلال لبنان ويدعو للاعتراف بدولة فلسطين,9,2026-03
عرابي : المجتمع الإسرائيلي في حالة تصدع وانهيار تحت القصف الإيراني والمقاومة اللبنانية,Israel,2026-04-01 19:00:00,https://www.raya.ps/news/1214943.html,عرابي المجتمع الإسرائيلي في حالة تصدع وانهيار تحت القصف الإيراني والمقاومة اللبنانية,12,2026-04
"  Unprecedented expulsion : UN says Israel displaced 36 , 000 Palestinians in West Bank",Israel,2026-03-18 08:30:00,https://www.middleeasteye.net/news/unprecedented-expulsion-un-says-israel-displaced-36000-palestinians-west-bank,unprecedented expulsion un says israel displaced 36 000 palestinians in west bank,12,2026-03
PM Mustafa holds high - level talks with European officials in Brussels,Israel,2026-04-21 12:15:00,https://english.pnn.ps/news/48123,pm mustafa holds high level talks with european officials in brussels,11,2026-04
Fatah claims  sweeping victory  in 2026 Palestinian local elections,Israel,2026-04-26 11:00:00,https://www.jpost.com/middle-east/article-894145,fatah claims sweeping victory in 2026 palestinian local elections,9,2026-04
Forty nations meet in The Hague to discuss measures against Israel West Bank annexation,Israel,2026-03-04 17:15:00,https://www.middleeasteye.net/news/forty-nations-convene-hague-discuss-measures-against-israels-annexation-west-bank,forty nations meet in the hague to discuss measures against israel west bank annexation,14,2026-03
بنك الأردن يدعم جمعية عطاء فلسطين لتوزيع طرود غذائية على عائلات نازحة في قطاع غزة – تلفزيون الفجر,Israel,2026-03-15 10:45:00,https://alfajertv.com/news/palnews/722765.html,بنك الأردن يدعم جمعية عطاء فلسطين لتوزيع طرود غذائية على عائلات نازحة في قطاع غزة تلفزيون الفجر,17,2026-03
Japan and UNFPA launch new project to deliver health and protection services for women and girls in Palestine,Israel,2026-04-20 18:00:00,https://english.wafa.ps/Pages/Details/169630,japan and unfpa launch new project to deliver health and protection services for women and girls in palestine,18,2026-04
President Abbas Abbas receives phone call from Indonesian President,Israel,2026-03-23 13:30:00,https://english.wafa.ps/Pages/Details/168555,president abbas abbas receives phone call from indonesian president,9,2026-03
التوسّع وسيطرة المستعمرة,Israel,2026-05-01 22:00:00,https://www.addustour.com/articles/1563991-%D8%A7%D9%84%D8%AA%D9%88%D8%B3%D9%91%D8%B9-%D9%88%D8%B3%D9%8A%D8%B7%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D8%B1%D8%A9,التوس ع وسيطرة المستعمرة,4,2026-05
المنشية .. قرية مهجّرة على تخوم ساحل عكا,Israel,2026-03-03 21:15:00,https://www.addustour.com/articles/1552169-%D8%A7%D9%84%D9%85%D9%86%D8%B4%D9%8A%D8%A9-%D9%82%D8%B1%D9%8A%D8%A9-%D9%85%D9%87%D8%AC%D9%91%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%AA%D8%AE%D9%88%D9%85-%D8%B3%D8%A7%D8%AD%D9%84-%D8%B9%D9%83%D8%A7,المنشية قرية مهج رة على تخوم ساحل عكا,8,2026-03
رغم اعتراض واشنطن .. العمل الدولية تمنح فلسطين صفة عضو مراقب بصلاحيات موسعة,Israel,2026-04-03 00:30:00,https://palinfo.com/news/2026/04/03/1105004/,رغم اعتراض واشنطن العمل الدولية تمنح فلسطين صفة عضو مراقب بصلاحيات موسعة,12,2026-04
